"","GEOID","county_ID","coastal","total_population","hhs_total","median_hh_income","pct_hisp","pct_less_HS","pct_health_coverage","pct_unemployed"
"3377","48201411503","48201",1,3235,1772,116136,24.606,0,87.251,1.538
"3378","48201411504","48201",1,2178,1434,122946,36.685,0,85.699,1.161
"3379","48201411505","48201",1,3152,1605,102109,7.234,0.34,83.962,1.195
"3380","48201411506","48201",1,2837,1941,111352,12.266,7.561,86.644,0
"3381","48201411507","48201",1,2068,1293,78404,16.441,0.464,87.974,1.34
"3382","48201411600","48201",1,2758,1463,126421,6.019,0,96.896,0
"3383","48201411700","48201",1,3150,1925,75563,18.889,2.003,84.516,3.843
"3384","48201411801","48201",1,3686,1703,113159,21.568,5.095,95.326,1.138
"3385","48201411802","48201",1,2161,1329,79938,16.844,8.777,80.452,2.452
"3386","48201411901","48201",1,1978,830,248611,7.937,3.07,100,1.196
"3387","48201411902","48201",1,2035,995,130753,10.614,1.819,97.035,3.678
"3388","48201412000","48201",1,3918,1761,204911,5.896,0,98.34,2.7
"3389","48201412201","48201",1,2247,1009,145478,16.288,0.063,97.969,2.713
"3390","48201412202","48201",1,3768,1331,179659,7.219,2.682,97.501,4.74
"3391","48201412300","48201",1,6919,2378,250001,10.001,0,95.963,6.293
"3392","48201412400","48201",1,4481,1549,250001,2.678,1.282,93.094,1.501
"3393","48201412500","48201",1,1535,591,187019,6.254,2.733,92.801,5.789
"3394","48201412600","48201",1,3657,1367,250001,6.153,1.392,100,8.657
"3395","48201412700","48201",1,3178,1236,156111,14.223,0.695,95.57,0.876
"3396","48201412800","48201",1,5147,1565,250001,4.76,1,99.549,4.386
"3397","48201412901","48201",1,1914,860,75769,26.594,4.653,88.356,0.554
"3398","48201412902","48201",1,2671,1038,101907,25.384,5.508,73.029,8.37
"3399","48201413000","48201",1,3457,1449,140321,9.98,1.421,96.337,2.528
"3400","48201413100","48201",1,3099,1056,250001,10.552,3.556,96.348,5.643
"3401","48201413203","48201",1,2017,1230,58952,14.031,1.9,91.122,7.834
"3402","48201413204","48201",1,964,551,59931,37.033,1.462,78.286,4.478
"3403","48201413205","48201",1,1566,905,61098,19.604,5.489,79.929,0
"3404","48201413206","48201",1,2521,1371,75078,8.251,0.481,95.637,2.847
"3405","48201413301","48201",1,5057,2442,82302,13.941,4.448,84.245,4.845
"3406","48201413302","48201",1,3717,1717,128267,6.376,1.158,100,0.897
"3407","48201420100","48201",1,2776,1535,52112,45.497,28.127,46.214,4.345
"3408","48201420200","48201",1,2424,1029,69050,43.564,13.805,63.476,2.01
"3409","48201420300","48201",1,3490,1407,90335,29.885,0.45,67.001,7.677
"3410","48201420400","48201",1,3187,1411,102321,17.917,12.22,98.208,1.903
"3411","48201420500","48201",1,3529,1248,48077,79.654,29.685,25.61,6.702
"3412","48201420600","48201",1,2409,916,95600,20.506,5.789,88.874,5.223
"3413","48201420700","48201",1,2488,855,199659,11.415,1.921,99.841,5.523
"3414","48201420800","48201",1,2515,829,250001,7.157,2.659,95.464,1.308
"3415","48201420900","48201",1,6147,2263,208082,13.031,1.472,96.047,2.561
"3416","48201421000","48201",1,2761,1043,149963,13.437,3.307,91.021,0.721
"3417","48201421101","48201",1,2644,1309,52008,52.761,17.446,55.171,4.119
"3418","48201421103","48201",1,1511,603,37782,60.953,48.571,5.787,2.326
"3419","48201421104","48201",1,4088,1536,41652,95.083,60.538,-23.696,6.514
"3420","48201421203","48201",1,2451,923,38840,76.663,44.915,17.332,0
"3421","48201421204","48201",1,3857,1474,42782,73.451,43.508,-13.948,3.444
"3422","48201421205","48201",1,2877,895,40280,91.276,69.19,-22.64,6.791
"3423","48201421206","48201",1,2306,812,28795,93.799,57.407,-19.472,5.458
"3424","48201421301","48201",1,3245,1157,35307,77.781,56.419,-19.258,3.157
"3425","48201421302","48201",1,5915,1697,60350,20.541,23.858,45.723,5.903
"3426","48201421401","48201",1,3895,1400,34460,57.073,47.026,8.984,1.306
"3427","48201421402","48201",1,3864,1251,32543,92.262,51.578,-2.991,2.347
"3428","48201421403","48201",1,4793,1495,32996,79.866,54.731,-4.309,5.392
"3429","48201421501","48201",1,4570,1546,32424,65.055,43.422,6.725,6.011
"3430","48201421502","48201",1,2806,1064,42250,55.31,45.926,34.249,1.967
"3431","48201421601","48201",1,2995,930,40745,76.361,69.156,-12.911,15.273
"3432","48201421602","48201",1,3350,1144,43235,76.657,35.395,6.292,2.055
"3433","48201421700","48201",1,4873,1749,77837,45.003,20.146,48.357,3.596
"3434","48201421801","48201",1,1907,842,43020,53.854,7.116,46.793,0
"3435","48201421802","48201",1,2063,827,118344,12.748,0,87.489,4.842
"3436","48201421900","48201",1,2833,971,158125,6.918,5.574,97.843,4.825
"3437","48201422000","48201",1,2235,874,112105,23.087,5.083,80.976,4.352
"3438","48201422100","48201",1,5443,2209,87455,37.792,8.802,71.144,2.763
"3439","48201422200","48201",1,5732,2586,26102,25.331,20.054,47.903,15.988
"3440","48201422302","48201",1,1936,961,72813,26.24,6.114,67.385,10.797
"3441","48201422303","48201",1,2651,1331,27834,7.544,14.559,75.254,7.839
"3442","48201422304","48201",1,3813,1012,40907,76.737,39.198,31.297,17.301
"3443","48201422403","48201",1,2599,904,72931,52.212,20.35,52.93,5.971
"3444","48201422404","48201",1,2494,936,38088,85.846,42.049,23.735,13.425
"3445","48201422405","48201",1,1647,970,16082,24.226,22.351,60.3,11.726
"3446","48201422406","48201",1,2752,1025,53315,37.718,20.055,57.782,6.905
"3447","48201422501","48201",1,3333,1363,52629,35.644,23.148,35.31,0.822
"3448","48201422502","48201",1,3487,1404,37031,45.598,17.974,8.137,5.888
"3449","48201422601","48201",1,3533,1196,48355,67.676,41.439,15.665,3.642
"3450","48201422602","48201",1,2317,915,65230,55.416,31.349,37.813,0
"3451","48201422701","48201",1,5120,1709,53937,81.699,38.407,9.486,2.711
"3452","48201422702","48201",1,3088,1075,75417,62.63,44.202,54.231,8.998
"3453","48201422800","48201",1,5360,1663,48884,60.019,42.374,2.657,5.914
"3454","48201422900","48201",1,3256,1314,44167,75.891,44.605,13.768,7.981
"3455","48201423001","48201",1,3253,1046,39167,47.372,36.72,32.772,0.646
"3456","48201423002","48201",1,2854,1168,32730,76.349,36.409,36.114,3.758
"3457","48201423100","48201",1,2705,914,34366,82.588,59.408,-6.944,6.077
"3458","48201423201","48201",1,2957,910,74194,53.568,18.052,61.503,6.586
"3459","48201423203","48201",1,2145,879,46498,51.049,36.324,63.155,3.171
"3460","48201423204","48201",1,4402,1664,30182,75.239,49.772,-22.168,10.913
"3461","48201423301","48201",1,4738,2001,60016,23.407,19.063,53.261,13.766
"3462","48201423303","48201",1,1330,645,64867,12.331,9.975,60,0
"3463","48201423304","48201",1,3557,1475,46544,23.756,17.015,71.545,13.626
"3464","48201423401","48201",1,5196,1795,70507,25.019,14.677,45.734,7.923
"3465","48201423402","48201",1,4587,1521,57446,28.842,17.892,85.067,5.118
"3466","48201423500","48201",1,2163,755,98775,34.35,21.452,59.951,3.595
"3467","48201423600","48201",1,6950,2261,68655,31.813,19.783,72.508,6.648
"3468","48201430101","48201",1,3214,1613,75472,15.93,1.998,80.206,1.833
"3469","48201430102","48201",1,2512,1240,113615,23.169,6.017,83.816,3.462
"3470","48201430200","48201",1,1475,726,71154,27.119,5.996,48.663,4.746
"3471","48201430300","48201",1,4383,1524,250001,5.704,2.607,97.94,8.828
"3472","48201430400","48201",1,3114,1146,250001,2.826,0.899,95.355,9.436
"3473","48201430500","48201",1,2320,836,202500,10.991,0.943,92.578,4.614
"3474","48201430600","48201",1,3834,1166,250001,2.843,0.353,96.553,3.584
"3475","48201430700","48201",1,3919,1786,84154,23.96,2.794,95.144,4.179
"3476","48201430800","48201",1,6552,2698,146528,10.272,0.843,96.512,4.359
"3477","48201430900","48201",1,5264,2612,89674,9.65,3.206,83.38,1.533
"3478","48201431001","48201",1,2291,1092,105667,14.841,1.134,78.858,3.733
"3479","48201431002","48201",1,3046,1217,101505,5.089,4.025,93.409,0.581
"3480","48201431101","48201",1,4952,3074,52286,27.12,3.096,73.382,0.659
"3481","48201431102","48201",1,4309,2155,54614,24.089,1.768,49.591,16.44
"3482","48201431203","48201",1,2387,1095,58656,16.967,5.141,59.158,8.014
"3483","48201431204","48201",1,2853,1577,74807,12.969,0.966,88.413,1.634
"3484","48201431205","48201",1,2617,1751,41387,31.372,4.501,58.903,12.727
"3485","48201431206","48201",1,1862,1075,70905,23.469,4.18,69.12,5.229
"3486","48201431302","48201",1,4834,2067,123162,13.902,1.745,71.939,4.914
"3487","48201431303","48201",1,1274,821,62031,18.995,2.753,71.652,6.526
"3488","48201431304","48201",1,3247,1649,64479,49.399,6.64,58.407,2.306
"3489","48201431401","48201",1,2437,1507,77216,22.897,2.183,77.01,3.342
"3490","48201431403","48201",1,1840,942,105156,11.25,0.388,79.971,3.554
"3491","48201431404","48201",1,2146,1367,75223,30.009,3.189,74.908,3.315
"3492","48201431503","48201",1,2340,1117,105170,23.632,1.138,97.272,0.56
"3493","48201431504","48201",1,2372,1006,147763,4.848,3.12,97.547,0
"3494","48201431505","48201",1,1316,907,111289,9.119,0,95.628,3.052
"3495","48201431506","48201",1,2738,1758,87184,10.226,0,97.266,0.535
"3496","48201431600","48201",1,3324,1609,121940,7.431,2.614,91.481,2.107
"3497","48201431701","48201",1,1895,1157,107868,8.602,0,100,0
"3498","48201431702","48201",1,2669,1249,192443,3.934,0.652,100,4.227
"3499","48201431801","48201",1,3465,1900,89000,26.118,0.423,84.713,6.625
"3500","48201431803","48201",1,2298,1370,84643,17.232,1.469,85.767,4.797
"3501","48201431804","48201",1,2011,1271,121150,25.709,1.621,88.911,6.126
"3502","48201431901","48201",1,2526,1495,58941,17.577,0.552,70.348,0.623
"3503","48201431902","48201",1,2810,1646,113125,20.854,4.283,77.686,3.88
"3504","48201432003","48201",1,1712,1020,52609,29.614,9.541,36.965,6.81
"3505","48201432004","48201",1,2128,849,116319,11.137,0.342,85.016,9.139
"3506","48201432005","48201",1,3549,1445,46186,65.032,32.653,-11.632,10.422
